Date,AI productivity tools,Notion AI,ChatGPT for Work,AI planner
2024-04-28,0,21,46,18
2024-05-05,0,16,37,23
2024-05-12,0,17,37,26
2024-05-19,4,22,41,33
2024-05-26,0,23,32,42
2024-06-02,0,20,47,33
2024-06-09,4,20,37,32
2024-06-16,0,22,34,32
2024-06-23,0,20,31,25
2024-06-30,0,15,25,24
2024-07-07,0,15,30,28
2024-07-14,0,16,33,24
2024-07-21,0,18,31,24
2024-07-28,0,21,28,31
2024-08-04,0,21,23,25
2024-08-11,0,22,33,26
2024-08-18,0,22,35,25
2024-08-25,0,24,39,22
2024-09-01,0,26,46,25
2024-09-08,0,29,59,20
2024-09-15,0,28,54,22
2024-09-22,4,32,57,24
2024-09-29,0,34,56,22
2024-10-06,0,33,55,20
2024-10-13,4,25,55,22
2024-10-20,0,38,65,28
2024-10-27,0,28,62,21
2024-11-03,0,26,58,21
2024-11-10,0,26,69,23
2024-11-17,0,31,65,25
2024-11-24,4,22,41,20
2024-12-01,0,31,75,26
2024-12-08,0,32,92,24
2024-12-15,0,27,51,24
2024-12-22,0,25,34,26
2024-12-29,0,29,34,33
2025-01-05,3,30,57,31
2025-01-12,4,30,64,30
2025-01-19,4,31,68,33
2025-01-26,6,35,90,35
2025-02-02,8,35,93,27
2025-02-09,7,38,90,31
2025-02-16,11,45,97,30
2025-02-23,9,42,91,31
2025-03-02,7,37,90,37
2025-03-09,9,43,84,33
2025-03-16,7,47,78,36
2025-03-23,6,38,94,29
2025-03-30,7,41,100,30
2025-04-06,6,42,100,25
2025-04-13,6,43,85,30
2025-04-20,5,42,93,29
2025-04-27,7,41,95,30
2025-05-04,0,25,66,26
