Date,Keyword,Popularity
2024-04-28,AI productivity tools,0
2024-05-05,AI productivity tools,0
2024-05-12,AI productivity tools,0
2024-05-19,AI productivity tools,4
2024-05-26,AI productivity tools,0
2024-06-02,AI productivity tools,0
2024-06-09,AI productivity tools,4
2024-06-16,AI productivity tools,0
2024-06-23,AI productivity tools,0
2024-06-30,AI productivity tools,0
2024-07-07,AI productivity tools,0
2024-07-14,AI productivity tools,0
2024-07-21,AI productivity tools,0
2024-07-28,AI productivity tools,0
2024-08-04,AI productivity tools,0
2024-08-11,AI productivity tools,0
2024-08-18,AI productivity tools,0
2024-08-25,AI productivity tools,0
2024-09-01,AI productivity tools,0
2024-09-08,AI productivity tools,0
2024-09-15,AI productivity tools,0
2024-09-22,AI productivity tools,4
2024-09-29,AI productivity tools,0
2024-10-06,AI productivity tools,0
2024-10-13,AI productivity tools,4
2024-10-20,AI productivity tools,0
2024-10-27,AI productivity tools,0
2024-11-03,AI productivity tools,0
2024-11-10,AI productivity tools,0
2024-11-17,AI productivity tools,0
2024-11-24,AI productivity tools,4
2024-12-01,AI productivity tools,0
2024-12-08,AI productivity tools,0
2024-12-15,AI productivity tools,0
2024-12-22,AI productivity tools,0
2024-12-29,AI productivity tools,0
2025-01-05,AI productivity tools,3
2025-01-12,AI productivity tools,4
2025-01-19,AI productivity tools,4
2025-01-26,AI productivity tools,6
2025-02-02,AI productivity tools,8
2025-02-09,AI productivity tools,7
2025-02-16,AI productivity tools,11
2025-02-23,AI productivity tools,9
2025-03-02,AI productivity tools,7
2025-03-09,AI productivity tools,9
2025-03-16,AI productivity tools,7
2025-03-23,AI productivity tools,6
2025-03-30,AI productivity tools,7
2025-04-06,AI productivity tools,6
2025-04-13,AI productivity tools,6
2025-04-20,AI productivity tools,5
2025-04-27,AI productivity tools,7
2025-05-04,AI productivity tools,0
2024-04-28,Notion AI,21
2024-05-05,Notion AI,16
2024-05-12,Notion AI,17
2024-05-19,Notion AI,22
2024-05-26,Notion AI,23
2024-06-02,Notion AI,20
2024-06-09,Notion AI,20
2024-06-16,Notion AI,22
2024-06-23,Notion AI,20
2024-06-30,Notion AI,15
2024-07-07,Notion AI,15
2024-07-14,Notion AI,16
2024-07-21,Notion AI,18
2024-07-28,Notion AI,21
2024-08-04,Notion AI,21
2024-08-11,Notion AI,22
2024-08-18,Notion AI,22
2024-08-25,Notion AI,24
2024-09-01,Notion AI,26
2024-09-08,Notion AI,29
2024-09-15,Notion AI,28
2024-09-22,Notion AI,32
2024-09-29,Notion AI,34
2024-10-06,Notion AI,33
2024-10-13,Notion AI,25
2024-10-20,Notion AI,38
2024-10-27,Notion AI,28
2024-11-03,Notion AI,26
2024-11-10,Notion AI,26
2024-11-17,Notion AI,31
2024-11-24,Notion AI,22
2024-12-01,Notion AI,31
2024-12-08,Notion AI,32
2024-12-15,Notion AI,27
2024-12-22,Notion AI,25
2024-12-29,Notion AI,29
